           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   2.4900000;   0.2064041;   0.2064041;1000.0000000;1002.5000000
   0.0200000;   2.4750000;   0.2051607;   0.2054225;1004.0000000;1002.5199408
   0.0400000;   2.4617174;   0.2040596;   0.2040727;1003.0859950;1002.5287230
   0.0600000;   2.4458624;   0.2027454;   0.2027738;1003.2000000;1002.5318350
   0.0800000;   2.4227174;   0.2008268;   0.2009529;1001.7140050;1002.5428990
   0.1000000;   2.3935725;   0.1984109;   0.1985291;1003.0859950;1002.5563382
   0.1200000;   2.3781450;   0.1971320;   0.1968972;1003.2000000;1002.5429371
   0.1400000;   2.3657174;   0.1961019;   0.1959941;1001.7140050;1002.5289966
   0.1600000;   2.3511450;   0.1948939;   0.1949196;1003.0859950;1002.5285306
   0.1800000;   2.3305725;   0.1931886;   0.1932986;1003.2000000;1002.5382265
   0.2000000;   2.3181450;   0.1921585;   0.1920278;1001.7140050;1002.5321639
   0.2200000;   2.3057174;   0.1911283;   0.1910937;1003.0859950;1002.5265093
   0.2400000;   2.2911450;   0.1899203;   0.1899539;1003.2000000;1002.5286505
   0.2600000;   2.2735725;   0.1884637;   0.1885189;1001.7140050;1002.5343928
   0.2800000;   2.2615725;   0.1874690;   0.1873738;1003.0859950;1002.5294043
   0.3000000;   2.2521450;   0.1866875;   0.1866177;1003.2000000;1002.5220097
   0.3200000;   2.2431450;   0.1859415;   0.1859228;1001.7140050;1002.5190831
   0.3400000;   2.2285725;   0.1847335;   0.1848278;1003.0859950;1002.5261391
   0.3600000;   2.2165725;   0.1837388;   0.1837071;1003.2000000;1002.5269218
   0.3800000;   2.2071450;   0.1829573;   0.1828971;1001.7140050;1002.5219961
   0.4000000;   2.1981450;   0.1822113;   0.1821910;1003.0859950;1002.5192130
   0.4200000;   2.1865725;   0.1812520;   0.1812931;1003.2000000;1002.5221754
   0.4400000;   2.1750000;   0.1802927;   0.1802972;1001.7140050;1002.5241379
   0.4600000;   2.1655725;   0.1795112;   0.1794682;1003.0859950;1002.5214872
   0.4800000;   2.1587174;   0.1789430;   0.1788865;1003.2000000;1002.5164170
   0.5000000;   2.1497174;   0.1781970;   0.1782238;1001.7140050;1002.5172105
   0.5200000;   2.1390000;   0.1773086;   0.1773433;1003.0859950;1002.5209702
   0.5400000;   2.1402826;   0.1774149;   0.1772065;1003.2000000;1002.5065121
   0.5600000;   2.1621376;   0.1792265;   0.1788274;1000.1140050;1002.4703838
   0.5800000;   2.2199926;   0.1840223;   0.1833391;1000.4579840;1002.4065160
   0.6000000;   2.3464128;   0.1945017;   0.1932206; 995.6579835;1002.2878103
   0.6200000;   2.7081008;   0.2244831;   0.2202214; 989.1439780;1001.9228383
   0.6400000;   4.6790126;   0.3878583;   0.3591784; 981.7159670; 999.6067940
   0.6600000;  11.2218516;   0.9302152;   0.8460380; 969.9439780; 992.3289910
   0.6800000;  21.9513446;   1.8196172;   1.7348486; 960.0019615; 983.2948358
   0.7000000;  39.0600466;   3.2378122;   3.1191522; 951.2019615; 971.4801079
   0.7200000;  64.8031799;   5.3717429;   5.2097614; 947.7719890; 955.1681123
   0.7400000;  93.4533031;   7.7466433;   7.6815479; 948.2260495; 944.6806467
   0.7600000; 118.4065181;   9.8150951;   9.8865870; 954.7380935; 947.1101454
   0.7800000; 135.5325491;  11.2347266;  11.3970541; 973.7120440; 960.3477284
   0.8000000; 143.3167594;  11.8799847;  12.0754159; 994.2859945; 978.9286992
   0.8200000; 145.2196586;  12.0377221;  12.1706463;1000.1140050; 994.0588895
   0.8400000; 145.6272973;  12.0715126;  12.1124164; 999.4280110;1000.7307482
   0.8600000; 145.7468771;  12.0814250;  12.0870483;1002.2859950;1002.2660072
   0.8800000; 145.6701450;  12.0750644;  12.0773933;1003.2000000;1002.5943424
   0.9000000; 145.6444275;  12.0729326;  12.0721490;1001.7140050;1002.6018427
   0.9200000; 145.6949853;  12.0771235;  12.0755132;1003.0859950;1002.4590921
   0.9400000; 145.7399706;  12.0808525;  12.0807123;1003.2000000;1002.4022763
   0.9600000; 145.8749853;  12.0920443;  12.0905495;1001.7140050;1002.2825790
   0.9800000; 146.0472826;  12.1063265;  12.1054549;1003.0859950;1002.1696305
   1.0000000; 146.0764055;  12.1087406;  12.1112209;1003.2000000;1002.3272576
   1.0200000; 146.1059926;  12.1111932;  12.1117015;1001.7140050;1002.4323048
   1.0400000; 146.1831670;  12.1175904;  12.1167309;1003.0859950;1002.3796081
   1.0600000; 146.1398698;  12.1140014;  12.1159459;1003.2000000;1002.5009832
   1.0800000; 146.0434275;  12.1060070;  12.1073255;1001.7140050;1002.6562276
   1.1000000; 146.0134275;  12.1035202;  12.1024650;1003.0859950;1002.6160956
   1.1200000; 146.0198550;  12.1040530;  12.1031403;1003.2000000;1002.5191842
   1.1400000; 146.0374275;  12.1055096;  12.1052054;1001.7140050;1002.4707741
   1.1600000; 146.0652826;  12.1078186;  12.1076381;1003.0859950;1002.4479123
   1.1800000; 146.2238477;  12.1209626;  12.1186738;1002.4000000;1002.2674645
   1.2000000; 146.7740861;  12.1665736;  12.1593797;1000.0000000;1001.6503538
   1.2200000; 147.8320619;  12.2542726;  12.2443990; 999.6579835;1000.6784400
   1.2400000; 149.6746889;  12.4070139;  12.3922568; 997.3719890; 999.2394200
   1.2600000; 152.6852445;  12.6565684;  12.6346428; 992.8000000; 997.0874316
   1.2800000; 156.6451710;  12.9848194;  12.9660643; 991.8859945; 994.9309726
   1.3000000; 161.0461930;  13.3496342;  13.3410652; 992.0000000; 993.5955329
   1.3200000; 165.2531584;  13.6983630;  13.7027542; 991.4280110; 993.5062078
   1.3400000; 168.8344725;  13.9952296;  14.0089366; 994.5140055; 994.4888265
   1.3600000; 171.5363739;  14.2191989;  14.2381391; 997.0280110; 996.1517776
   1.3800000; 173.2121943;  14.3581130;  14.3797663; 998.6280110; 998.2024294
   1.4000000; 174.0663760;  14.4289188;  14.4468563;1002.2859950;1000.0884422
   1.4200000; 174.5005357;  14.4649077;  14.4747056;1003.2000000;1001.2886485
   1.4400000; 174.7696880;  14.4872186;  14.4911072;1001.7140050;1001.8345897
   1.4600000; 174.9672679;  14.5035966;  14.5051382;1003.0859950;1002.0471522
   1.4800000; 175.1104128;  14.5154624;  14.5165613;1003.2000000;1002.1646682
   1.5000000; 175.2209853;  14.5246281;  14.5253693;1001.7140050;1002.2450467
   1.5200000; 175.3187027;  14.5327282;  14.5330707;1003.0859950;1002.2866762
   1.5400000; 175.4018477;  14.5396204;  14.5399336;1003.2000000;1002.3157310
   1.5600000; 175.4699926;  14.5452691;  14.5456005;1001.7140050;1002.3459718
   1.5800000; 175.5295651;  14.5502073;  14.5504260;1003.0859950;1002.3687667
   1.6000000; 175.5749926;  14.5539729;  14.5542640;1003.2000000;1002.3943655
   1.6200000; 175.6195651;  14.5576677;  14.5577411;1001.7140050;1002.4059630
   1.6400000; 175.6697101;  14.5618243;  14.5617411;1003.0859950;1002.3997328
   1.6600000; 175.7065651;  14.5648794;  14.5651101;1003.2000000;1002.4128862
   1.6800000; 175.7425651;  14.5678635;  14.5679389;1001.7140050;1002.4233341
   1.7000000; 175.7837101;  14.5712742;  14.5711988;1003.0859950;1002.4181257
   1.7200000; 175.8137101;  14.5737610;  14.5739523;1003.2000000;1002.4288871
   1.7400000; 175.8398550;  14.5759282;  14.5760458;1001.7140050;1002.4417703
   1.7600000; 175.8694275;  14.5783795;  14.5783406;1003.0859950;1002.4409019
   1.7800000; 175.8801376;  14.5792673;  14.5795937;1003.2000000;1002.4634356
   1.8000000; 175.9007101;  14.5809727;  14.5808669;1001.7140050;1002.4638211
   1.8200000; 175.9324275;  14.5836018;  14.5833775;1003.0859950;1002.4429952
   1.8400000; 175.9482826;  14.5849161;  14.5851686;1003.2000000;1002.4547415
   1.8600000; 175.9598550;  14.5858754;  14.5860146;1001.7140050;1002.4715398
   1.8800000; 175.9830000;  14.5877939;  14.5876083;1003.0859950;1002.4607182
   1.9000000; 175.9902826;  14.5883976;  14.5886410;1003.2000000;1002.4732063
   1.9200000; 176.0052826;  14.5896410;  14.5895640;1001.7140050;1002.4736538
   1.9400000; 176.0198550;  14.5908490;  14.5908344;1003.0859950;1002.4698205
   1.9600000; 176.0344275;  14.5920569;  14.5920637;1003.2000000;1002.4693071
   1.9800000; 176.0485725;  14.5932294;  14.5932442;1001.7140050;1002.4699862
   2.0000000; 176.0588550;  14.5940818;  14.5941567;1003.0859950;1002.4754838
   2.0200000; 176.0631376;  14.5944368;  14.5945583;1003.2000000;1002.4863395
   2.0400000; 176.0832826;  14.5961067;  14.5958498;1001.7140050;1002.4699114
   2.0600000; 176.1090000;  14.5982385;  14.5980944;1003.0859950;1002.4510747
   2.0800000; 176.1184275;  14.5990200;  14.5993007;1003.2000000;1002.4674066
   2.1000000; 176.1274275;  14.5997660;  14.5998366;1001.7140050;1002.4800235
   2.1200000; 176.1308550;  14.6000501;  14.6001486;1003.0859950;1002.4890781
   2.1400000; 176.1334275;  14.6002633;  14.6002940;1003.2000000;1002.4939534
   2.1600000; 176.1437174;  14.6011163;  14.6009829;1001.7140050;1002.4845253
   2.1800000; 176.1475725;  14.6014359;  14.6015256;1003.0859950;1002.4872786
   2.2000000; 176.1317101;  14.6001210;  14.6004903;1003.2000000;1002.5176800
   2.2200000; 176.1424275;  14.6010094;  14.6006033;1001.7140050;1002.4975097
   2.2400000; 176.1595725;  14.6024306;  14.6022272;1003.0859950;1002.4705077
   2.2600000; 176.1668550;  14.6030343;  14.6031968;1003.2000000;1002.4765789
