           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   3.1350000;   0.2598702;   0.2598702; 600.0000000; 600.0000000
   0.0200000;   3.0600000;   0.2536532;   0.2554147; 600.0000000; 600.1162803
   0.0400000;   3.0105074;   0.2495506;   0.2493565; 600.0000000; 600.1596033
   0.0600000;   2.9471849;   0.2443016;   0.2443725; 600.0000000; 600.1605961
   0.0800000;   2.8916849;   0.2397010;   0.2395333; 600.0000000; 600.1541727
   0.1000000;   2.8339349;   0.2349139;   0.2348982; 600.0000000; 600.1502992
   0.1200000;   2.7746849;   0.2300025;   0.2300312; 600.0000000; 600.1540076
   0.1400000;   2.7113624;   0.2247535;   0.2248367; 600.0000000; 600.1627271
   0.1600000;   2.6547899;   0.2200640;   0.2199002; 600.0000000; 600.1569506
   0.1800000;   2.6138624;   0.2166714;   0.2162347; 600.0000000; 600.1254461
   0.2000000;   2.5718624;   0.2131899;   0.2131110; 600.0000000; 600.1086779
   0.2200000;   2.5325399;   0.2099303;   0.2098798; 600.0000000; 600.1045923
   0.2400000;   2.4879674;   0.2062356;   0.2063408; 600.0000000; 600.1115746
   0.2600000;   2.4474674;   0.2028784;   0.2027980; 600.0000000; 600.1112150
   0.2800000;   2.4140399;   0.2001075;   0.1998959; 600.0000000; 600.0964518
   0.3000000;   2.3837174;   0.1975940;   0.1974659; 600.0000000; 600.0829395
   0.3200000;   2.3481450;   0.1946452;   0.1947490; 600.0000000; 600.0871089
   0.3400000;   2.3229674;   0.1925582;   0.1923404; 600.0000000; 600.0772683
   0.3600000;   2.2907174;   0.1898849;   0.1899775; 600.0000000; 600.0778270
   0.3800000;   2.2584674;   0.1872116;   0.1872461; 600.0000000; 600.0841631
   0.4000000;   2.2307174;   0.1849113;   0.1847926; 600.0000000; 600.0786650
   0.4200000;   2.2018950;   0.1825221;   0.1825046; 600.0000000; 600.0750396
   0.4400000;   2.1801450;   0.1807192;   0.1805512; 600.0000000; 600.0645614
   0.4600000;   2.1606450;   0.1791028;   0.1790028; 600.0000000; 600.0537626
   0.4800000;   2.1351450;   0.1769890;   0.1771164; 600.0000000; 600.0599200
   0.5000000;   2.1096450;   0.1748752;   0.1749080; 600.0000000; 600.0669359
   0.5200000;   2.0938950;   0.1735697;   0.1733259; 599.2000000; 600.0528667
   0.5400000;   2.0815725;   0.1725482;   0.1723988; 599.8859945; 600.0362866
   0.5600000;   2.0730000;   0.1718376;   0.1717346; 599.2000000; 600.0254490
   0.5800000;   2.0730000;   0.1718376;   0.1716239; 598.5140055; 600.0085606
   0.6000000;   2.0771775;   0.1721839;   0.1720444; 598.4000000; 599.9928922
   0.6200000;   2.0948550;   0.1736492;   0.1733223; 598.2859945; 599.9669127
   0.6400000;   2.1362101;   0.1770773;   0.1764622; 597.3719890; 599.9157289
   0.6600000;   2.2244926;   0.1843953;   0.1831921; 595.0859945; 599.8160628
   0.6800000;   2.3748078;   0.1968554;   0.1952008; 592.0000000; 599.6669532
   0.7000000;   2.6679380;   0.2211539;   0.2175764; 591.0859945; 599.3747528
   0.7200000;   3.3898361;   0.2809944;   0.2703284; 588.6859945; 598.5508835
   0.7400000;   5.4705483;   0.4534712;   0.4195824; 585.3719890; 595.9629039
   0.7600000;  10.0841731;   0.8359094;   0.7699954; 581.9439780; 590.5053686
   0.7800000;  18.8498021;   1.5625204;   1.4541179; 576.4579835; 581.1734327
   0.8000000;  33.5935478;   2.7846767;   2.6278746; 570.9719890; 567.1956925
   0.8200000;  52.3337810;   4.3381146;   4.2226674; 566.2859945; 554.2445688
   0.8400000;  71.2746162;   5.9081810;   5.8986252; 563.8859945; 549.3662016
   0.8600000;  88.8180227;   7.3624101;   7.4119736; 562.2859945; 551.5812590
   0.8800000; 105.1126571;   8.7131245;   8.7618600; 561.6000000; 555.5923830
   0.9000000; 119.8606624;   9.9356338;   9.9844147; 563.3140055; 559.6377626
   0.9200000; 132.3990124;  10.9749778;  11.0388959; 569.2560220; 564.7453414
   0.9400000; 140.9449758;  11.6833800;  11.7920859; 573.8260495; 573.3542146
   0.9600000; 144.4882574;  11.9770939;  12.1174609; 583.8840330; 585.5651302
   0.9800000; 145.0525725;  12.0238718;  12.1178893; 595.2000000; 595.8761173
   1.0000000; 145.0011450;  12.0196088;  12.0423167; 600.0000000; 600.2040130
   1.0200000; 144.9499275;  12.0153633;  12.0108772; 600.0000000; 600.6051503
   1.0400000; 144.9653550;  12.0166421;  12.0115538; 600.0000000; 600.1384245
   1.0600000; 145.0197899;  12.0211544;  12.0194834; 600.0000000; 599.8735145
   1.0800000; 144.9804674;  12.0178948;  12.0202504; 600.0000000; 599.9758765
   1.1000000; 144.9471450;  12.0151326;  12.0157326; 600.0000000; 600.0879314
   1.1200000; 144.9368550;  12.0142796;  12.0136211; 600.0000000; 600.0641444
   1.1400000; 144.9255000;  12.0133384;  12.0131347; 600.0000000; 600.0313074
   1.1600000; 144.9777899;  12.0176729;  12.0161948; 600.0000000; 599.9279732
   1.1800000; 144.9837899;  12.0181702;  12.0189354; 600.0000000; 599.9317842
   1.2000000; 144.9261450;  12.0133919;  12.0152347; 600.0000000; 600.0761124
   1.2200000; 144.9103876;  12.0120857;  12.0114506; 600.0000000; 600.0921686
   1.2400000; 144.8936702;  12.0106999;  12.0103640; 600.0000000; 600.0516665
   1.2600000; 144.9323550;  12.0139066;  12.0125856; 600.0000000; 599.9549304
   1.2800000; 145.2193876;  12.0376997;  12.0315925; 600.0000000; 599.5103590
   1.3000000; 145.7725966;  12.0835569;  12.0760520; 598.4000000; 598.8191196
   1.3200000; 146.9239169;  12.1789936;  12.1639572; 596.5719890; 597.5774176
   1.3400000; 149.5991911;  12.4007556;  12.3624895; 594.7439780; 594.5510860
   1.3600000; 153.7065377;  12.7412267;  12.7007746; 590.9719890; 590.6180556
   1.3800000; 158.6423412;  13.1503712;  13.1265579; 586.5140055; 587.6577409
   1.4000000; 163.8960062;  13.5858643;  13.5786455; 586.5140055; 586.2614854
   1.4200000; 168.4446029;  13.9629121;  13.9821177; 588.9140055; 587.0992530
   1.4400000; 171.3425861;  14.2031352;  14.2490023; 591.4280110; 590.5240396
   1.4600000; 172.6871555;  14.3145908;  14.3612957; 593.8280110; 594.8771657
   1.4800000; 173.2263004;  14.3592823;  14.3852216; 596.9140055; 597.9497040
   1.5000000; 173.5403477;  14.3853147;  14.3921637; 599.2000000; 599.1678712
   1.5200000; 173.8212752;  14.4086016;  14.4084059; 600.0000000; 599.3518358
   1.5400000; 174.1243802;  14.4337270;  14.4325324; 600.0000000; 599.2565976
   1.5600000; 174.3462826;  14.4521212;  14.4538668; 600.0000000; 599.3236655
   1.5800000; 174.4699275;  14.4623705;  14.4653134; 600.0000000; 599.5615969
   1.6000000; 174.4903876;  14.4640665;  14.4670683; 600.0000000; 599.8437777
