           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   3.1350000;   0.2598702;   0.2598702; 600.0000000; 600.0000000
   0.0100000;   3.0975000;   0.2567617;   0.2583898; 600.0000000; 600.0404658
   0.0200000;   3.0600000;   0.2536532;   0.2549624; 600.0000000; 600.0997038
   0.0300000;   3.0352537;   0.2516019;   0.2517098; 600.0000000; 600.1242211
   0.0400000;   3.0105074;   0.2495506;   0.2493208; 600.0000000; 600.1211214
   0.0500000;   2.9788461;   0.2469261;   0.2470081; 600.0000000; 600.1204085
   0.0600000;   2.9471849;   0.2443016;   0.2444122; 600.0000000; 600.1254860
   0.0700000;   2.9194349;   0.2420013;   0.2418901; 600.0000000; 600.1255195
   0.0800000;   2.8916849;   0.2397010;   0.2395747; 600.0000000; 600.1215831
   0.0900000;   2.8628099;   0.2373075;   0.2372708; 600.0000000; 600.1196219
   0.1000000;   2.8339349;   0.2349139;   0.2349039; 600.0000000; 600.1197594
   0.1100000;   2.8043099;   0.2324582;   0.2324809; 600.0000000; 600.1211342
   0.1200000;   2.7746849;   0.2300025;   0.2300129; 600.0000000; 600.1227411
   0.1300000;   2.7430236;   0.2273780;   0.2274590; 600.0000000; 600.1259122
   0.1400000;   2.7113624;   0.2247535;   0.2248057; 600.0000000; 600.1295395
   0.1500000;   2.6830762;   0.2224088;   0.2222742; 600.0000000; 600.1280808
   0.1600000;   2.6547899;   0.2200640;   0.2199325; 600.0000000; 600.1236643
   0.1700000;   2.6343262;   0.2183677;   0.2179436; 600.0000000; 600.1120082
   0.1800000;   2.6138624;   0.2166714;   0.2163508; 600.0000000; 600.0980905
   0.1900000;   2.5928624;   0.2149307;   0.2147873; 600.0000000; 600.0901737
   0.2000000;   2.5718624;   0.2131899;   0.2131416; 600.0000000; 600.0874155
   0.2100000;   2.5522012;   0.2115601;   0.2114889; 600.0000000; 600.0855860
   0.2200000;   2.5325399;   0.2099303;   0.2098768; 600.0000000; 600.0837993
   0.2300000;   2.5102537;   0.2080830;   0.2081634; 600.0000000; 600.0856174
   0.2400000;   2.4879674;   0.2062356;   0.2063057; 600.0000000; 600.0893624
   0.2500000;   2.4677174;   0.2045570;   0.2044984; 600.0000000; 600.0897565
   0.2600000;   2.4474674;   0.2028784;   0.2028071; 600.0000000; 600.0877552
   0.2700000;   2.4307537;   0.2014929;   0.2012886; 600.0000000; 600.0822378
   0.2800000;   2.4140399;   0.2001075;   0.1999525; 600.0000000; 600.0757481
   0.2900000;   2.3988787;   0.1988507;   0.1987002; 600.0000000; 600.0701306
   0.3000000;   2.3837174;   0.1975940;   0.1975029; 600.0000000; 600.0660124
   0.3100000;   2.3659312;   0.1961196;   0.1961898; 600.0000000; 600.0668335
   0.3200000;   2.3481450;   0.1946452;   0.1947174; 600.0000000; 600.0703165
   0.3300000;   2.3355562;   0.1936017;   0.1934115; 600.0000000; 600.0673194
   0.3400000;   2.3229674;   0.1925582;   0.1923822; 600.0000000; 600.0604008
   0.3500000;   2.3068424;   0.1912216;   0.1912733; 600.0000000; 600.0593450
   0.3600000;   2.2907174;   0.1898849;   0.1899628; 600.0000000; 600.0626184
   0.3700000;   2.2745924;   0.1885482;   0.1885931; 600.0000000; 600.0654968
   0.3800000;   2.2584674;   0.1872116;   0.1872239; 600.0000000; 600.0670512
   0.3900000;   2.2445924;   0.1860614;   0.1859576; 600.0000000; 600.0652063
   0.4000000;   2.2307174;   0.1849113;   0.1848192; 600.0000000; 600.0617611
   0.4100000;   2.2163062;   0.1837167;   0.1836851; 600.0000000; 600.0599959
   0.4200000;   2.2018950;   0.1825221;   0.1825131; 600.0000000; 600.0597572
   0.4300000;   2.1910200;   0.1816207;   0.1814621; 600.0000000; 600.0561584
   0.4400000;   2.1801450;   0.1807192;   0.1805887; 600.0000000; 600.0508016
   0.4500000;   2.1703950;   0.1799110;   0.1797901; 600.0000000; 600.0461118
   0.4600000;   2.1606450;   0.1791028;   0.1790320; 600.0000000; 600.0427817
   0.4700000;   2.1478950;   0.1780459;   0.1781437; 600.0000000; 600.0444267
   0.4800000;   2.1351450;   0.1769890;   0.1770806; 600.0000000; 600.0486566
   0.4900000;   2.1223950;   0.1759321;   0.1759785; 600.0000000; 600.0516780
   0.5000000;   2.1096450;   0.1748752;   0.1748868; 600.0000000; 600.0531264
   0.5100000;   2.1017700;   0.1742224;   0.1740048; 599.6000000; 600.0483308
   0.5200000;   2.0938950;   0.1735697;   0.1733875; 599.2000000; 600.0406686
   0.5300000;   2.0877337;   0.1730589;   0.1728858; 599.5429973; 600.0337667
   0.5400000;   2.0815725;   0.1725482;   0.1724484; 599.8859945; 600.0287732
   0.5500000;   2.0772862;   0.1721929;   0.1720692; 599.5429973; 600.0243321
   0.5600000;   2.0730000;   0.1718376;   0.1717590; 599.2000000; 600.0205825
   0.5700000;   2.0730000;   0.1718376;   0.1716155; 598.8570027; 600.0139694
   0.5800000;   2.0730000;   0.1718376;   0.1716757; 598.5140055; 600.0064686
   0.5900000;   2.0750888;   0.1720107;   0.1718414; 598.4570028; 599.9997126
   0.6000000;   2.0771775;   0.1721839;   0.1720852; 598.4000000; 599.9945313
   0.6100000;   2.0860163;   0.1729166;   0.1725841; 598.3429973; 599.9846444
   0.6200000;   2.0948550;   0.1736492;   0.1734055; 598.2859945; 599.9730886
   0.6300000;   2.1155326;   0.1753633;   0.1747336; 597.8289918; 599.9533076
   0.6400000;   2.1362101;   0.1770773;   0.1766305; 597.3719890; 599.9316510
   0.6500000;   2.1803514;   0.1807363;   0.1795117; 596.2289917; 599.8934924
   0.6600000;   2.2244926;   0.1843953;   0.1835214; 595.0859945; 599.8511223
   0.6700000;   2.2996502;   0.1906254;   0.1888758; 593.5429972; 599.7924081
   0.6800000;   2.3748078;   0.1968554;   0.1956666; 592.0000000; 599.7329327
   0.6900000;   2.5213729;   0.2090047;   0.2053809; 591.5429972; 599.6216343
   0.7000000;   2.6679380;   0.2211539;   0.2185420; 591.0859945; 599.4950805
   0.7100000;   3.0288871;   0.2510741;   0.2405588; 589.8859945; 599.1877177
   0.7200000;   3.3898361;   0.2809944;   0.2731957; 588.6859945; 598.8172602
   0.7300000;   4.4301922;   0.3672328;   0.3340326; 587.0289917; 597.8573100
   0.7400000;   5.4705483;   0.4534712;   0.4287087; 585.3719890; 596.6875525
   0.7500000;   7.7773607;   0.6446903;   0.5778660; 583.6579835; 594.6023101
   0.7600000;  10.0841731;   0.8359094;   0.7882793; 581.9439780; 592.2950049
   0.7700000;  14.4669876;   1.1992149;   1.0871025; 579.2009807; 588.6817843
   0.7800000;  18.8498021;   1.5625204;   1.4842180; 576.4579835; 584.8330544
   0.7900000;  26.2216749;   2.1735985;   2.0084201; 573.7149863; 579.3485181
   0.8000000;  33.5935478;   2.7846767;   2.6715419; 570.9719890; 573.7021788
   0.8100000;  42.9636644;   3.5613956;   3.4245896; 568.6289918; 568.2742118
   0.8200000;  52.3337810;   4.3381146;   4.2569199; 566.2859945; 563.7953433
   0.8300000;  61.8041986;   5.1231478;   5.0885369; 565.0859945; 561.3414341
   0.8400000;  71.2746162;   5.9081810;   5.9024685; 563.8859945; 560.3344068
   0.8500000;  80.0463194;   6.6352955;   6.6723990; 563.0859945; 560.8465002
   0.8600000;  88.8180227;   7.3624101;   7.3969167; 562.2859945; 561.9886266
   0.8700000;  96.9653399;   8.0377673;   8.0871188; 561.9429972; 563.4622918
   0.8800000; 105.1126571;   8.7131245;   8.7479225; 561.6000000; 564.8269453
   0.8900000; 112.4866598;   9.3243791;   9.3773806; 562.4570028; 566.4177492
   0.9000000; 119.8606624;   9.9356338;   9.9730820; 563.3140055; 567.9313092
   0.9100000; 126.1298374;  10.4553058;  10.5237099; 566.2850137; 569.9726175
   0.9200000; 132.3990124;  10.9749778;  11.0239235; 569.2560220; 572.0499440
   0.9300000; 136.6719941;  11.3291789;  11.4415619; 571.5410357; 575.4022690
   0.9400000; 140.9449758;  11.6833800;  11.7646352; 573.8260495; 579.0377451
   0.9500000; 142.7166166;  11.8302370;  11.9796212; 578.8550412; 583.8849031
   0.9600000; 144.4882574;  11.9770939;  12.0799113; 583.8840330; 588.7208795
   0.9700000; 144.7704150;  12.0004829;  12.1138122; 589.5420165; 593.0955977
   0.9800000; 145.0525725;  12.0238718;  12.0918187; 595.2000000; 596.5531614
   0.9900000; 145.0268588;  12.0217403;  12.0635768; 597.6000000; 598.6534756
   1.0000000; 145.0011450;  12.0196088;  12.0376196; 600.0000000; 599.7606213
   1.0100000; 144.9755363;  12.0174861;  12.0222686; 600.0000000; 600.1648138
   1.0200000; 144.9499275;  12.0153633;  12.0150341; 600.0000000; 600.2335219
   1.0300000; 144.9576412;  12.0160027;  12.0131784; 600.0000000; 600.1593827
   1.0400000; 144.9653550;  12.0166421;  12.0144399; 600.0000000; 600.0602321
   1.0500000; 144.9925725;  12.0188982;  12.0169388; 600.0000000; 599.9766539
   1.0600000; 145.0197899;  12.0211544;  12.0200916; 600.0000000; 599.9185468
   1.0700000; 145.0001287;  12.0195246;  12.0211689; 600.0000000; 599.9417523
   1.0800000; 144.9804674;  12.0178948;  12.0194727; 600.0000000; 600.0072455
   1.0900000; 144.9638062;  12.0165137;  12.0172633; 600.0000000; 600.0513129
   1.1000000; 144.9471450;  12.0151326;  12.0153628; 600.0000000; 600.0694207
   1.1100000; 144.9420000;  12.0147061;  12.0142119; 600.0000000; 600.0613466
   1.1200000; 144.9368550;  12.0142796;  12.0138231; 600.0000000; 600.0424674
   1.1300000; 144.9311775;  12.0138090;  12.0135780; 600.0000000; 600.0297296
   1.1400000; 144.9255000;  12.0133384;  12.0132566; 600.0000000; 600.0242448
   1.1500000; 144.9516450;  12.0155056;  12.0141097; 600.0000000; 599.9884454
   1.1600000; 144.9777899;  12.0176729;  12.0165673; 600.0000000; 599.9382706
   1.1700000; 144.9807899;  12.0179215;  12.0183706; 600.0000000; 599.9311750
   1.1800000; 144.9837899;  12.0181702;  12.0187967; 600.0000000; 599.9535802
   1.1900000; 144.9549674;  12.0157810;  12.0175628; 600.0000000; 600.0075880
   1.2000000; 144.9261450;  12.0133919;  12.0146805; 600.0000000; 600.0684711
   1.2100000; 144.9182663;  12.0127388;  12.0124421; 600.0000000; 600.0823326
   1.2200000; 144.9103876;  12.0120857;  12.0115385; 600.0000000; 600.0644562
   1.2300000; 144.9020289;  12.0113928;  12.0110401; 600.0000000; 600.0473827
   1.2400000; 144.8936702;  12.0106999;  12.0105404; 600.0000000; 600.0381488
   1.2500000; 144.9130126;  12.0123033;  12.0110511; 600.0000000; 600.0047885
   1.2600000; 144.9323550;  12.0139066;  12.0129336; 600.0000000; 599.9603778
   1.2700000; 145.0758713;  12.0258031;  12.0199271; 600.0000000; 599.7983840
   1.2800000; 145.2193876;  12.0376997;  12.0332069; 600.0000000; 599.5900096
   1.2900000; 145.4959921;  12.0606283;  12.0526518; 599.2000000; 599.3162978
   1.3000000; 145.7725966;  12.0835569;  12.0782345; 598.4000000; 599.0497512
   1.3100000; 146.3482568;  12.1312752;  12.1159595; 597.4859945; 598.5760318
   1.3200000; 146.9239169;  12.1789936;  12.1680085; 596.5719890; 598.0439549
   1.3300000; 148.2615540;  12.2898746;  12.2517166; 595.6579835; 596.9034216
   1.3400000; 149.5991911;  12.4007556;  12.3728204; 594.7439780; 595.5671192
   1.3500000; 151.6528644;  12.5709911;  12.5267673; 592.8579835; 593.9836811
   1.3600000; 153.7065377;  12.7412267;  12.7126100; 590.9719890; 592.5103576
